model_id,autoencoder,embedding,pretext_loss,cluster_loss,metric,embedding_dim,n_clusters,dim_reduction,reduced_dim,run_1_train_SC,run_1_train_DBI,run_1_test_SC,run_1_test_DBI,run_1_train_time,run_2_train_SC,run_2_train_DBI,run_2_test_SC,run_2_test_DBI,run_2_train_time,run_3_train_SC,run_3_train_DBI,run_3_test_SC,run_3_test_DBI,run_3_train_time,run_4_train_SC,run_4_train_DBI,run_4_test_SC,run_4_test_DBI,run_4_train_time,run_5_train_SC,run_5_train_DBI,run_5_test_SC,run_5_test_DBI,run_5_train_time
63628dd54b68c3e97c1f7ca3,fcnn,multi_rec,multi_rec,dtc,cid,10,2,UMAP,5.0,0.4702666103839874,0.6313760042400097,0.49778276681900024,0.6178243828192872,55.9347243309021,0.9995555281639099,0.0,-1.0,-1.0,49.58229923248291,0.9995555281639099,0.0,-1.0,-1.0,48.78623819351196,0.5576358437538147,0.5779586930279824,0.5573606491088867,0.5855609417398234,48.39088320732117,-1.0,-1.0,-1.0,-1.0,49.028493881225586
63628dd54b68c3e97c1f7ca4,fcnn,multi_rec,multi_rec,dtc,cid,10,4,None,5.0,-1.0,-1.0,-1.0,-1.0,57.031102418899536,0.32552459836006165,0.728073165452772,0.300575315952301,0.6751308860905446,50.760719776153564,-1.0,-1.0,-1.0,-1.0,50.41850471496582,-1.0,-1.0,-1.0,-1.0,49.55127930641174,0.27615007758140564,0.42263274886395275,-1.0,-1.0,50.36897683143616
63628dd54b68c3e97c1f7ca5,fcnn,multi_rec,multi_rec,dtc,cid,10,4,PCA,5.0,0.49386367201805115,0.3893690614519759,-1.0,-1.0,59.438860177993774,-1.0,-1.0,-1.0,-1.0,50.40852665901184,-1.0,-1.0,-1.0,-1.0,50.64529728889465,-1.0,-1.0,-1.0,-1.0,50.28238892555237,-1.0,-1.0,-1.0,-1.0,50.657686948776245
63628dd54b68c3e97c1f7ca6,fcnn,multi_rec,multi_rec,dtc,cid,10,4,UMAP,5.0,-1.0,-1.0,-1.0,-1.0,60.57468104362488,0.431729257106781,0.491841536040461,-1.0,-1.0,50.266064405441284,-1.0,-1.0,-1.0,-1.0,51.011664390563965,-1.0,-1.0,-1.0,-1.0,49.93695855140686,-1.0,-1.0,-1.0,-1.0,50.18544793128967
63628dd54b68c3e97c1f7ca7,fcnn,multi_rec,multi_rec,dtc,cid,10,6,None,5.0,-1.0,-1.0,-1.0,-1.0,61.31053829193115,-1.0,-1.0,-1.0,-1.0,52.013384103775024,-1.0,-1.0,-1.0,-1.0,51.93974781036377,-1.0,-1.0,-1.0,-1.0,52.164376974105835,0.6196804642677307,0.5127391216394225,0.6399291157722473,0.49596460617097704,52.127036333084106
63628dd54b68c3e97c1f7ca8,fcnn,multi_rec,multi_rec,dtc,cid,10,6,PCA,5.0,-1.0,-1.0,-1.0,-1.0,61.76106119155884,-1.0,-1.0,-1.0,-1.0,51.53999924659729,-1.0,-1.0,-1.0,-1.0,51.96320366859436,0.4382447302341461,0.49090037699112826,-1.0,-1.0,51.35255265235901,0.48372894525527954,0.4623388080332827,-1.0,-1.0,51.81864833831787
63628dd54b68c3e97c1f7ca9,fcnn,multi_rec,multi_rec,dtc,cid,10,6,UMAP,5.0,-1.0,-1.0,-1.0,-1.0,61.201849937438965,-1.0,-1.0,-1.0,-1.0,51.37910032272339,0.4863135814666748,0.41593941498912573,-1.0,-1.0,52.26143717765808,-1.0,-1.0,-1.0,-1.0,51.63676619529724,-1.0,-1.0,-1.0,-1.0,51.56825542449951
63628dd54b68c3e97c1f7caa,fcnn,vae,vae,None,None,10,2,None,None,0.07160116732120514,3.467616248154082,0.07096680998802185,3.505006498528173,2.7245590686798096,0.06908225268125534,3.5322894346953073,0.06975923478603363,3.5362496241368495,2.7128329277038574,0.07242254167795181,3.44765403369942,0.07135871052742004,3.4859578172443704,2.7315890789031982,0.07143394649028778,3.483587213533188,0.07141051441431046,3.5095322283553174,2.7315633296966553,0.06943704187870026,3.5355778688620485,0.07035431265830994,3.5116880016134853,2.7324702739715576
63628dd54b68c3e97c1f7cad,fcnn,vae,vae,None,None,10,4,None,None,0.06379939615726471,2.8050620118209,0.06347870826721191,2.797359875595864,2.691765785217285,0.06572162359952927,2.762434086678854,0.06551492214202881,2.7760617009279054,2.6897082328796387,0.06437757611274719,2.803970130958556,0.06522779911756516,2.786411414045672,2.701232433319092,0.06267771869897842,2.7974530845883745,0.06467702239751816,2.77531492474008,2.7112836837768555,0.06606483459472656,2.7572889340193116,0.064015232026577,2.8084234762014106,2.7363204956054688
63628dd54b68c3e97c1f7cb0,fcnn,vae,vae,None,None,10,6,None,None,0.0647316426038742,2.474268643810997,0.0664764940738678,2.4642300571106492,2.7555861473083496,0.06632177531719208,2.452157492493677,0.06611191481351852,2.4812982096078557,2.747420072555542,0.06299708783626556,2.4980992515785476,0.06387141346931458,2.5013287510327076,2.7170190811157227,0.06444304436445236,2.4632459742192947,0.06779392808675766,2.4487991810898357,2.7313804626464844,0.06574040651321411,2.488691468519869,0.0665256604552269,2.472272631217947,2.714811325073242
